,3G SPECIAL SITUATIONS FUND IV SUB/RED,ibov
,PX_LAST,PX_LAST
Date,,
2016-08-11,,58299.6
2016-08-11,,58299.6
2016-08-12,,58298.4
2016-08-12,,58298.4
2016-08-15,,59146.0
2016-08-15,,59146.0
2016-08-16,,58855.4
2016-08-16,,58855.4
2016-08-17,,59323.8
2016-08-17,,59323.8
2016-08-18,,59166.0
2016-08-18,,59166.0
2016-08-19,,59098.9
2016-08-19,,59098.9
2016-08-22,,57781.2
2016-08-22,,57781.2
2016-08-23,,58020.0
2016-08-23,,58020.0
2016-08-24,,57717.9
2016-08-24,,57717.9
2016-08-25,,57722.1
2016-08-25,,57722.1
2016-08-26,,57716.3
2016-08-26,,57716.3
2016-08-29,,58610.4
2016-08-29,,58610.4
2016-08-30,,58575.4
2016-08-30,,58575.4
2016-08-31,1749.654276,57901.1
2016-08-31,1749.654276,57901.1
2016-09-01,,58236.3
2016-09-01,,58236.3
2016-09-02,,59616.4
2016-09-02,,59616.4
2016-09-05,,59566.3
2016-09-05,,59566.3
2016-09-06,,60129.4
2016-09-06,,60129.4
2016-09-07,,60129.4
2016-09-07,,60129.4
2016-09-08,,60231.7
2016-09-08,,60231.7
2016-09-09,,57999.7
2016-09-09,,57999.7
2016-09-12,,58586.1
2016-09-12,,58586.1
2016-09-13,,56820.8
2016-09-13,,56820.8
2016-09-14,,57059.5
2016-09-14,,57059.5
2016-09-15,,57909.5
2016-09-15,,57909.5
2016-09-16,,57079.8
2016-09-16,,57079.8
2016-09-19,,57350.4
2016-09-19,,57350.4
2016-09-20,,57736.5
2016-09-20,,57736.5
2016-09-21,,58393.9
2016-09-21,,58393.9
2016-09-22,,58994.2
2016-09-22,,58994.2
2016-09-23,,58697.0
2016-09-23,,58697.0
2016-09-26,,58053.5
2016-09-26,,58053.5
2016-09-27,,58382.5
2016-09-27,,58382.5
2016-09-28,,59355.8
2016-09-28,,59355.8
2016-09-29,,58350.6
2016-09-29,,58350.6
2016-09-30,1749.654276,58367.0
2016-09-30,1749.654276,58367.0
2016-10-03,,59461.2
2016-10-03,,59461.2
2016-10-04,,59339.2
2016-10-04,,59339.2
2016-10-05,,60254.3
2016-10-05,,60254.3
2016-10-06,,60644.2
2016-10-06,,60644.2
2016-10-07,,61109.0
2016-10-07,,61109.0
2016-10-10,,61668.3
2016-10-10,,61668.3
2016-10-11,,61021.8
2016-10-11,,61021.8
2016-10-12,,61021.8
2016-10-12,,61021.8
2016-10-13,,61118.6
2016-10-13,,61118.6
2016-10-14,,61767.2
2016-10-14,,61767.2
2016-10-17,,62696.1
2016-10-17,,62696.1
2016-10-18,,63782.2
2016-10-18,,63782.2
2016-10-19,,63505.6
2016-10-19,,63505.6
2016-10-20,,63837.9
2016-10-20,,63837.9
2016-10-21,,64108.1
2016-10-21,,64108.1
2016-10-24,,64059.9
2016-10-24,,64059.9
2016-10-25,,63866.2
2016-10-25,,63866.2
2016-10-26,,63825.7
2016-10-26,,63825.7
2016-10-27,,64249.5
2016-10-27,,64249.5
2016-10-28,,64307.6
2016-10-28,,64307.6
2016-10-31,1764.572035,64924.5
2016-10-31,1764.572035,64924.5
2016-11-01,,63326.4
2016-11-01,,63326.4
2016-11-02,,63326.4
2016-11-02,,63326.4
2016-11-03,,61750.2
2016-11-03,,61750.2
2016-11-04,,61598.4
2016-11-04,,61598.4
2016-11-07,,64051.7
2016-11-07,,64051.7
2016-11-08,,64157.7
2016-11-08,,64157.7
2016-11-09,,63258.3
2016-11-09,,63258.3
2016-11-10,,61201.0
2016-11-10,,61201.0
2016-11-11,,59183.5
2016-11-11,,59183.5
2016-11-14,,59657.5
2016-11-14,,59657.5
2016-11-15,,59657.5
2016-11-15,,59657.5
2016-11-16,,60759.3
2016-11-16,,60759.3
2016-11-17,,59770.5
2016-11-17,,59770.5
2016-11-18,,59961.8
