Product;FinancialPrice;data
paiva;2,284143;24/08/2018
paiva;2,268269;23/08/2018
paiva;2,311628;22/08/2018
paiva;2,269936;21/08/2018
paiva;2,31212;20/08/2018
paiva;2,303664;17/08/2018
paiva;2,325699;16/08/2018
paiva;2,331276;15/08/2018
paiva;2,367726;14/08/2018
paiva;2,333767;13/08/2018
paiva;2,313443;10/08/2018
paiva;2,373262;09/08/2018
paiva;2,391171;08/08/2018
paiva;2,414373;07/08/2018
paiva;2,431386;06/08/2018
paiva;2,439777;03/08/2018
paiva;2,401588;02/08/2018
paiva;2,398538;01/08/2018
paiva;2,38546;31/07/2018
paiva;2,407931;30/07/2018
paiva;2,406629;27/07/2018
paiva;2,413482;26/07/2018
paiva;2,428818;25/07/2018
paiva;2,410313;24/07/2018
paiva;2,385493;23/07/2018
paiva;2,411968;20/07/2018
paiva;2,381697;19/07/2018
paiva;2,374069;18/07/2018
paiva;2,38815;17/07/2018
paiva;2,351165;16/07/2018
paiva;2,350208;13/07/2018
paiva;2,32446;12/07/2018
paiva;2,293948;11/07/2018
paiva;2,304172;10/07/2018
paiva;2,304504;09/07/2018
paiva;2,302017;06/07/2018
paiva;2,28624;05/07/2018
paiva;2,291071;04/07/2018
paiva;2,268393;03/07/2018
paiva;2,246625;02/07/2018
paiva;2,247983;29/06/2018
paiva;2,231847;28/06/2018
paiva;2,204117;27/06/2018
paiva;2,239754;26/06/2018
paiva;2,227573;25/06/2018
paiva;2,217594;22/06/2018
paiva;2,202085;21/06/2018
paiva;2,242714;20/06/2018
paiva;2,230389;19/06/2018
paiva;2,190662;18/06/2018
paiva;2,211538;15/06/2018
paiva;2,234655;14/06/2018
paiva;2,252716;13/06/2018
paiva;2,26104;12/06/2018
paiva;2,250165;11/06/2018
paiva;2,271342;08/06/2018
paiva;2,264706;07/06/2018
paiva;2,335685;06/06/2018
paiva;2,375454;05/06/2018
paiva;2,424397;04/06/2018
paiva;2,392614;01/06/2018
paiva;2,351498;31/05/2018
paiva;2,351498;30/05/2018
paiva;2,32137;29/05/2018
paiva;2,316973;28/05/2018
paiva;2,39351;25/05/2018
paiva;2,423969;24/05/2018
paiva;2,421038;23/05/2018
paiva;2,465232;22/05/2018
paiva;2,415032;21/05/2018
paiva;2,425169;18/05/2018
paiva;2,440054;17/05/2018
paiva;2,501978;16/05/2018
paiva;2,475168;15/05/2018
paiva;2,488095;14/05/2018
paiva;2,513524;11/05/2018
paiva;2,540822;10/05/2018
paiva;2,514679;09/05/2018
paiva;2,492594;08/05/2018
paiva;2,488443;07/05/2018
paiva;2,496759;04/05/2018
paiva;2,497165;03/05/2018
paiva;2,527644;02/05/2018
paiva;2,562621;01/05/2018
paiva;2,562621;30/04/2018
paiva;2,566143;27/04/2018
paiva;2,565381;26/04/2018
paiva;2,545291;25/04/2018
paiva;2,543762;24/04/2018
paiva;2,550671;23/04/2018
paiva;2,539613;20/04/2018
paiva;2,542054;19/04/2018
paiva;2,542931;18/04/2018
paiva;2,518402;17/04/2018
paiva;2,491089;16/04/2018
paiva;2,523665;13/04/2018
paiva;2,543936;12/04/2018
paiva;2,527722;11/04/2018
