data;NORONHM BZ Equity;IHFAIHFA Index;IFMMIFMM Index;BZRFIMAB Index;IBX Index
03/01/2020;1,0920902;3769,90;14,674255;7615,495;49609,37
10/01/2020;1,0916921;3767,44;14,664325;7627,381;48778,81
17/01/2020;1,0968027;3799,03;14,747470;7644,166;50027,26
24/01/2020;1,0964986;3802,67;14,751596;7658,322;50012,56
31/01/2020;1,0922399;3773,49;14,673787;7658,850;48065,13
07/02/2020;1,0947257;3775,27;14,688770;7695,543;48071,11
14/02/2020;1,0993937;3794,75;14,760455;7806,503;48345,95
21/02/2020;1,1014949;3796,11;14,771465;7755,861;48123,64
28/02/2020;1,0901890;3714,42;14,564757;7693,269;44113,94
06/03/2020;1,0814315;3673,81;14,492460;7714,028;41554,68
13/03/2020;1,0546330;3524,29;14,027967;7278,264;35005,14
20/03/2020;1,0158298;3400,60;13,635376;6964,913;28404,31
27/03/2020;1,0430884;3473,82;13,851654;7145,846;31054,70
03/04/2020;1,0402632;3459,45;13,820384;7033,456;29359,96
10/04/2020;1,0570678;3522,58;13,978825;7155,878;32813,18
17/04/2020;1,0703816;3563,62;14,112170;7377,310;33387,77
24/04/2020;1,0756072;3553,96;14,052747;7054,009;31852,88
01/05/2020;1,0775920;3583,65;14,138673;7250,940;34006,82
08/05/2020;1,0844686;3602,11;14,224517;7226,980;33789,05
15/05/2020;1,0810884;3584,44;14,192459;7187,844;32670,63
22/05/2020;1,0838442;3607,41;14,259212;7292,181;34683,43
29/05/2020;1,0929254;3650,81;14,385046;7361,037;36903,25
05/06/2020;1,0952021;3692,61;14,490257;7471,639;39960,35
12/06/2020;1,0959157;3684,29;14,465563;7485,644;39182,38
19/06/2020;1,1009065;3716,59;14,558501;7452,701;40795,38
26/06/2020;1,1000436;3700,07;14,522773;7451,666;39674,56
03/07/2020;1,1066525;3737,58;14,638446;7613,394;40982,17
10/07/2020;1,1099847;3775,51;14,730422;7685,874;42324,81
17/07/2020;1,1133182;3793,61;14,790422;7725,752;43514,52
24/07/2020;1,1159120;3794,76;14,803065;7751,691;43320,86
31/07/2020;1,1213315;3816,68;14,873859;7841,277;43596,81
07/08/2020;1,1242104;3833,55;14,923607;7790,661;43560,98
14/08/2020;1,1191199;3817,89;14,890687;7688,146;42949,40
21/08/2020;1,1215719;3825,31;14,930346;7754,229;43026,66
28/08/2020;1,1210927;3844,48;14,976390;7732,345;43291,20
04/09/2020;1,1212692;3827,94;14,936351;7750,760;42911,37
11/09/2020;1,1151076;3801,82;14,866192;7710,607;41692,51
18/09/2020;1,1137834;3789,61;14,811366;7581,649;41698,27
25/09/2020;1,1115761;3769,15;14,758008;7634,434;41216,42
02/10/2020;1,1105492;3745,97;14,680712;7531,947;39958,10
09/10/2020;1,1148743;3777,19;14,780032;7619,091;41434,43
16/10/2020;1,1185276;3787,50;14,811410;7608,750;41804,58
23/10/2020;1,1178392;3803,83;14,848162;7622,034;43028,67
30/10/2020;1,1108421;3743,20;14,684832;7599,993;39975,69
06/11/2020;1,1264051;3817,11;14,881444;7705,896;43022,74
13/11/2020;1,1230812;3812,36;14,883408;7682,259;44465,26
20/11/2020;1,1243118;3820,26;14,918003;7650,431;44977,69
27/11/2020;1,1309147;3867,12;15,069750;7746,186;46866,48
04/12/2020;1,1346814;3897,62;15,147234;7907,003;48142,81
11/12/2020;1,1359266;3897,04;15,155598;7998,555;48708,53
18/12/2020;1,1413409;3934,05;15,274903;8035,967;49908,23
25/12/2020;1,1403108;3936,01;15,285672;8065,118;49826,10
01/01/2021;1,1439079;3959,42;15,350126;8128,201;50379,31
08/01/2021;1,1455918;3983,61;15,398347;8054,064;53302,19
15/01/2021;1,1466832;3965,79;15,403158;8045,841;51178,93
22/01/2021;1,1470253;3959,66;15,337220;7958,960;49984,59
29/01/2021;1,1392270;3924,94;15,237773;8058,994;48854,26
05/02/2021;1,1529510;4006,56;15,444269;8116,311;51103,92
12/02/2021;1,1535934;4015,12;15,472628;8101,867;50778,68
19/02/2021;1,1546433;4022,34;15,482854;8072,299;50580,62
26/02/2021;1,1439336;3944,47;15,289318;7936,756;47167,32
05/03/2021;1,1407259;3964,81;15,345831;8045,035;49542,77
12/03/2021;1,1422813;3959,95;15,355201;7981,116;48991,48
19/03/2021;1,1422428;3958,61;15,354386;7915,473;49702,79
26/03/2021;1,1414121;3945,28;15,323356;7874,724;49189,27
02/04/2021;1,1452263;3966,52;15,337863;7898,129;49472,33
09/04/2021;1,1508505;3992,50;15,414627;7884,751;50667,09
16/04/2021;1,1547858;4011,06;15,521246;7922,739;52249,06
23/04/2021;1,1563931;4006,88;15,509911;7963,130;52009,10
30/04/2021;1,1583896;4014,13;15,518656;7951,604;51432,65
07/05/2021;1,1620451;4037,62;15,614933;7942,771;52938,45
14/05/2021;1,1559797;4003,37;15,573037;7971,067;52538,84
21/05/2021;1,1561126;4025,85;15,581101;7992,681;52772,87
28/05/2021;1,1621036;4056,99;15,671152;8046,049;54059,02
04/06/2021;1,1680668;4080,46;15,747137;8141,112;55847,60
11/06/2021;1,1644344;4069,20;15,715084;8096,495;55644,69
18/06/2021;1,1637206;4064,81;15,679851;8007,329;55026,33
25/06/2021;1,1676607;4090,09;15,759760;8050,728;54893,33
02/07/2021;1,1697077;4097,86;15,920284;8095,556;55146,58
09/07/2021;1,1644661;4063,56;15,699719;8092,091;54294,55
16/07/2021;1,1652817;4067,77;15,719787;8139,074;54548,78
23/07/2021;1,1668906;4065,91;15,718690;8137,687;54231,01
30/07/2021;1,1575840;4028,14;15,625300;8039,382;52632,97
06/08/2021;1,1597226;4044,43;15,668789;8015,059;53083,94
13/08/2021;1,1592079;4035,54;15,642739;7882,917;52361,28
20/08/2021;1,1607162;4011,78;15,564592;7877,505;50607,17
27/08/2021;1,1647660;4040,01;15,671771;7995,374;51783,57
03/09/2021;1,1665160;4034,61;15,658400;7921,805;50174,57
10/09/2021;1,1690292;4024,80;15,623337;7954,871;49013,26
17/09/2021;1,1737830;4033,61;15,635125;7967,684;47623,99
24/09/2021;1,1766215;4054,89;15,692030;7966,630;48343,84
01/10/2021;1,1745630;4035,95;15,692030;7974,953;48123,07
