date_CSH2169;CSH2169 BZ Equity;date_AMARAUR;AMARAUR BZ Equity;date_HPRFIC;HPRFIC BZ Equity;date_JULBGEN;JULBGEN BZ Equity;date_LEGCAPF;LEGCAPF BZ Equity;date_KPZETAF;KPZETAF BZ Equity;date_LSSTLS;LSSTLS BZ Equity;date_APXEQHF;APXEQHF BZ Equity;date_LSPLFIA;LSPLFIA BZ Equity;date_KADFIML;KADFIML BZ Equity;date_DIDOLFI;DIDOLFI BZ Equity;date_QUAADCP;QUAADCP BZ Equity;date_NWCSHST;NWCSHST BZ Equity;date_BEMFIRD;BEMFIRD BZ Equity
10/05/2021;1,2321815;25/01/2021;1,1414354;02/04/2019;18,300309;;;05/02/2021;1,38137988;02/04/2019;3,844471;02/04/2019;192,361523;02/04/2019;2,405463;29/07/2019;1,408511;02/04/2019;4,118229;02/04/2019;3,211261;29/10/2020;1,09924935;02/04/2019;127,347231;02/04/2019;2,906926
11/05/2021;1,2342341;26/01/2021;1,1422492;03/04/2019;18,3173;;;08/02/2021;1,38063102;03/04/2019;3,836864;03/04/2019;190,378748;03/04/2019;2,405451;30/07/2019;1,412416;03/04/2019;4,117746;03/04/2019;3,211169;30/10/2020;1,099239;03/04/2019;127,377279;03/04/2019;2,907632
12/05/2021;1,2279694;27/01/2021;1,1393022;04/04/2019;18,291779;;;09/02/2021;1,38361279;04/04/2019;3,847314;04/04/2019;188,498071;04/04/2019;2,400526;31/07/2019;1,409048;04/04/2019;4,121308;04/04/2019;3,216768;03/11/2020;1,09920535;04/04/2019;127,407419;04/04/2019;2,908338
13/05/2021;1,2308831;28/01/2021;1,1396916;05/04/2019;18,298684;;;10/02/2021;1,3787446;05/04/2019;3,845391;05/04/2019;188,801097;05/04/2019;2,393798;01/08/2019;1,412187;05/04/2019;4,122207;05/04/2019;3,218867;04/11/2020;1,09960465;05/04/2019;127,437597;05/04/2019;2,909045
14/05/2021;1,2352964;29/01/2021;1,1411121;08/04/2019;18,316181;;;11/02/2021;1,38298758;08/04/2019;3,84772;08/04/2019;189,217265;08/04/2019;2,390777;02/08/2019;1,411471;08/04/2019;4,125123;08/04/2019;3,222826;05/11/2020;1,09978156;08/04/2019;127,467719;08/04/2019;2,909752
17/05/2021;1,2362012;01/02/2021;1,1410888;09/04/2019;18,336111;;;12/02/2021;1,38561002;09/04/2019;3,825805;09/04/2019;188,526916;09/04/2019;2,382502;05/08/2019;1,404516;09/04/2019;4,120151;09/04/2019;3,212754;06/11/2020;1,10005433;09/04/2019;127,497895;09/04/2019;2,910458
18/05/2021;1,2346478;02/02/2021;1,1429062;10/04/2019;18,333994;;;17/02/2021;1,38511736;10/04/2019;3,831002;10/04/2019;188,86804;10/04/2019;2,386276;06/08/2019;1,405882;10/04/2019;4,123485;10/04/2019;3,218702;09/11/2020;1,10036805;10/04/2019;127,528331;10/04/2019;2,911167
19/05/2021;1,23545;03/02/2021;1,1447855;11/04/2019;18,367439;;;18/02/2021;1,38143591;11/04/2019;3,800139;11/04/2019;189,205169;11/04/2019;2,389353;07/08/2019;1,40312;11/04/2019;4,117613;11/04/2019;3,206377;10/11/2020;1,10037197;11/04/2019;127,558561;11/04/2019;2,911873
20/05/2021;1,2372053;04/02/2021;1,1447261;12/04/2019;18,393254;;;19/02/2021;1,38335032;12/04/2019;3,776232;12/04/2019;188,93579;12/04/2019;2,38555;08/08/2019;1,407626;12/04/2019;4,121806;12/04/2019;3,207474;11/11/2020;1,10025998;12/04/2019;127,588575;12/04/2019;2,912578
21/05/2021;1,239721;05/02/2021;1,1484629;15/04/2019;18,338172;;;22/02/2021;1,36840356;15/04/2019;3,768393;15/04/2019;188,244601;15/04/2019;2,381391;09/08/2019;1,404877;15/04/2019;4,119469;15/04/2019;3,202836;12/11/2020;1,10033512;15/04/2019;127,618798;15/04/2019;2,913285
24/05/2021;1,2422067;08/02/2021;1,1499952;16/04/2019;18,330835;;;23/02/2021;1,36358597;16/04/2019;3,774138;16/04/2019;188,686714;16/04/2019;2,383261;12/08/2019;1,402806;16/04/2019;4,116052;16/04/2019;3,194855;13/11/2020;1,10056595;16/04/2019;127,649454;16/04/2019;2,913995
25/05/2021;1,2388737;09/02/2021;1,1491547;17/04/2019;18,353757;;;24/02/2021;1,36444805;17/04/2019;3,761376;17/04/2019;189,578633;17/04/2019;2,381658;13/08/2019;1,407815;17/04/2019;4,12526;17/04/2019;3,207251;16/11/2020;1,10076416;17/04/2019;127,679809;17/04/2019;2,914705
26/05/2021;1,2401938;10/02/2021;1,1480482;18/04/2019;18,360166;;;25/02/2021;1,35040093;18/04/2019;3,794762;18/04/2019;190,070135;18/04/2019;2,390111;14/08/2019;1,404975;18/04/2019;4,113908;18/04/2019;3,190785;17/11/2020;1,10096298;18/04/2019;127,710057;18/04/2019;2,915413
27/05/2021;1,2423347;11/02/2021;1,1492564;22/04/2019;18,344691;;;26/02/2021;1,34796373;22/04/2019;3,792099;22/04/2019;189,535195;22/04/2019;2,392556;15/08/2019;1,404521;22/04/2019;4,118969;22/04/2019;3,200916;18/11/2020;1,10090604;22/04/2019;127,740444;22/04/2019;2,916121
28/05/2021;1,2439343;12/02/2021;1,149586;23/04/2019;18,336864;;;01/03/2021;1,34952153;23/04/2019;3,810432;23/04/2019;189,365581;23/04/2019;2,397458;16/08/2019;1,407083;23/04/2019;4,117947;23/04/2019;3,198624;19/11/2020;1,10099996;23/04/2019;127,770805;23/04/2019;2,916829
31/05/2021;1,2435132;17/02/2021;1,1503475;24/04/2019;18,417934;;;02/03/2021;1,3417487;24/04/2019;3,795507;24/04/2019;188,483689;24/04/2019;2,390166;19/08/2019;1,406973;24/04/2019;4,117675;24/04/2019;3,196732;20/11/2020;1,10091846;24/04/2019;127,802756;24/04/2019;2,91754
01/06/2021;1,2453208;18/02/2021;1,1505091;25/04/2019;18,467019;;;03/03/2021;1,33306441;25/04/2019;3,818023;25/04/2019;189,000585;25/04/2019;2,40254;20/08/2019;1,405717;25/04/2019;4,123179;25/04/2019;3,207032;23/11/2020;1,10090144;25/04/2019;127,832645;25/04/2019;2,918244
