,paiva,ibov
,PX_LAST,PX_LAST
Date,,
2015-06-22,1.648758,53863.7
2015-06-22,1.648758,53863.7
2015-06-22,1.648758,53863.7
2015-06-23,1.649227,53772.4
2015-06-23,1.649227,53772.4
2015-06-23,1.649227,53772.4
2015-06-23,1.649227,53772.4
2015-06-24,1.646747,53842.5
2015-06-24,1.646747,53842.5
2015-06-24,1.646747,53842.5
2015-06-24,1.646747,53842.5
2015-06-25,1.642102,53175.7
2015-06-25,1.642102,53175.7
2015-06-25,1.642102,53175.7
2015-06-25,1.642102,53175.7
2015-06-26,1.6503,54017.0
2015-06-26,1.6503,54017.0
2015-06-26,1.6503,54017.0
2015-06-26,1.6503,54017.0
2015-06-29,1.637845,53014.2
2015-06-29,1.637845,53014.2
2015-06-29,1.637845,53014.2
2015-06-29,1.637845,53014.2
2015-06-30,1.640199,53080.9
2015-06-30,1.640199,53080.9
2015-06-30,1.640199,53080.9
2015-06-30,1.640199,53080.9
2015-07-01,1.651732,52757.5
2015-07-01,1.651732,52757.5
2015-07-01,1.651732,52757.5
2015-07-01,1.651732,52757.5
2015-07-02,1.652183,53106.2
2015-07-02,1.652183,53106.2
2015-07-02,1.652183,53106.2
2015-07-02,1.652183,53106.2
2015-07-03,1.651736,52519.4
2015-07-03,1.651736,52519.4
2015-07-03,1.651736,52519.4
2015-07-03,1.651736,52519.4
2015-07-06,1.64725,52149.4
2015-07-06,1.64725,52149.4
2015-07-06,1.64725,52149.4
2015-07-06,1.64725,52149.4
2015-07-07,1.648078,52343.7
2015-07-07,1.648078,52343.7
2015-07-07,1.648078,52343.7
2015-07-07,1.648078,52343.7
2015-07-08,1.644754,51781.8
2015-07-08,1.644754,51781.8
2015-07-08,1.644754,51781.8
2015-07-08,1.644754,51781.8
2015-07-09,1.646008,51781.8
2015-07-09,1.646008,51781.8
2015-07-09,1.646008,51781.8
2015-07-09,1.646008,51781.8
2015-07-10,1.658886,52590.7
2015-07-10,1.658886,52590.7
2015-07-10,1.658886,52590.7
2015-07-10,1.658886,52590.7
2015-07-13,1.657247,53119.5
2015-07-13,1.657247,53119.5
2015-07-13,1.657247,53119.5
2015-07-13,1.657247,53119.5
2015-07-14,1.6605,53239.2
2015-07-14,1.6605,53239.2
2015-07-14,1.6605,53239.2
2015-07-14,1.6605,53239.2
2015-07-15,1.661594,52902.3
2015-07-15,1.661594,52902.3
2015-07-15,1.661594,52902.3
2015-07-15,1.661594,52902.3
2015-07-16,1.663423,53069.8
2015-07-16,1.663423,53069.8
2015-07-16,1.663423,53069.8
2015-07-16,1.663423,53069.8
2015-07-17,1.658361,52341.8
2015-07-17,1.658361,52341.8
2015-07-17,1.658361,52341.8
2015-07-17,1.658361,52341.8
2015-07-20,1.654679,51600.1
2015-07-20,1.654679,51600.1
2015-07-20,1.654679,51600.1
2015-07-20,1.654679,51600.1
2015-07-21,1.649791,51474.3
2015-07-21,1.649791,51474.3
2015-07-21,1.649791,51474.3
2015-07-21,1.649791,51474.3
2015-07-22,1.644607,50915.8
2015-07-22,1.644607,50915.8
2015-07-22,1.644607,50915.8
2015-07-22,1.644607,50915.8
2015-07-23,1.624472,49806.6
2015-07-23,1.624472,49806.6
2015-07-23,1.624472,49806.6
2015-07-23,1.624472,49806.6
2015-07-24,1.620037,49245.8
2015-07-24,1.620037,49245.8
2015-07-24,1.620037,49245.8
2015-07-24,1.620037,49245.8
2015-07-27,1.612373,48735.5
2015-07-27,1.612373,48735.5
2015-07-27,1.612373,48735.5
2015-07-27,1.612373,48735.5
2015-07-28,1.622828,49601.6
2015-07-28,1.622828,49601.6
2015-07-28,1.622828,49601.6
2015-07-28,1.622828,49601.6
2015-07-29,1.629398,50245.1
2015-07-29,1.629398,50245.1
2015-07-29,1.629398,50245.1
2015-07-29,1.629398,50245.1
2015-07-30,1.629475,49897.4
2015-07-30,1.629475,49897.4
2015-07-30,1.629475,49897.4
2015-07-30,1.629475,49897.4
2015-07-31,1.644222,50864.8
2015-07-31,1.644222,50864.8
2015-07-31,1.644222,50864.8
2015-07-31,1.644222,50864.8
2015-08-03,1.638653,50138.0
2015-08-03,1.638653,50138.0
2015-08-03,1.638653,50138.0
2015-08-03,1.638653,50138.0
2015-08-04,1.634216,50058.5
2015-08-04,1.634216,50058.5
2015-08-04,1.634216,50058.5
2015-08-04,1.634216,50058.5
2015-08-05,1.636444,50287.3
2015-08-05,1.636444,50287.3
2015-08-05,1.636444,50287.3
2015-08-05,1.636444,50287.3
2015-08-06,1.623379,50011.3
2015-08-06,1.623379,50011.3
2015-08-06,1.623379,50011.3
2015-08-06,1.623379,50011.3
2015-08-07,1.603584,48577.3
2015-08-07,1.603584,48577.3
2015-08-07,1.603584,48577.3
2015-08-07,1.603584,48577.3
2015-08-10,1.607881,49353.0
2015-08-10,1.607881,49353.0
2015-08-10,1.607881,49353.0
2015-08-10,1.607881,49353.0
2015-08-11,1.606258,49072.3
2015-08-11,1.606258,49072.3
2015-08-11,1.606258,49072.3
2015-08-11,1.606258,49072.3
2015-08-12,1.596969,48388.0
2015-08-12,1.596969,48388.0
2015-08-12,1.596969,48388.0
2015-08-12,1.596969,48388.0
2015-08-13,1.599154,48009.6
2015-08-13,1.599154,48009.6
2015-08-13,1.599154,48009.6
2015-08-13,1.599154,48009.6
2015-08-14,1.596222,47508.4
2015-08-14,1.596222,47508.4
2015-08-14,1.596222,47508.4
2015-08-14,1.596222,47508.4
2015-08-17,1.599335,47217.4
2015-08-17,1.599335,47217.4
2015-08-17,1.599335,47217.4
2015-08-17,1.599335,47217.4
2015-08-18,1.602248,47450.6
2015-08-18,1.602248,47450.6
2015-08-18,1.602248,47450.6
2015-08-18,1.602248,47450.6
2015-08-19,1.592713,46588.4
2015-08-19,1.592713,46588.4
2015-08-19,1.592713,46588.4
2015-08-19,1.592713,46588.4
2015-08-20,1.584902,46649.2
2015-08-20,1.584902,46649.2
2015-08-20,1.584902,46649.2
2015-08-20,1.584902,46649.2
2015-08-21,1.571905,45719.6
2015-08-21,1.571905,45719.6
2015-08-21,1.571905,45719.6
2015-08-21,1.571905,45719.6
2015-08-24,1.54851,44336.5
2015-08-24,1.54851,44336.5
